GAME_DATE,team1,elo1_pre,elo2_pre
1946-12-04,WSC,1373.3796,1276.9966
1946-12-04,DTF,1326.9114,1342.8893
1946-12-04,CHS,1304.1698,1252.3871
1946-12-04,PRO,1276.9966,1373.3796
1946-12-05,BOS,1236.0254,1319.3087
1946-12-05,CHS,1317.2023,1236.2073
1946-12-05,PHW,1287.2725,1350.4919
1946-12-05,STB,1346.9624,1239.3546
1946-12-05,DTF,1319.3087,1236.0254
1946-12-05,TRH,1236.2073,1317.2023
1946-12-05,NYK,1350.4919,1287.2725
1946-12-05,PIT,1239.3546,1346.9624
1946-12-07,BOS,1229.3071,1340.9235
1946-12-07,CHS,1306.269,1316.7987
1946-12-07,PRO,1270.5713,1247.1405
1946-12-07,STB,1351.3506,1296.8409
1946-12-07,WSC,1379.8049,1326.027
1946-12-07,NYK,1340.9235,1229.3071
1946-12-07,CLR,1316.7987,1306.269
1946-12-07,TRH,1247.1405,1270.5713
1946-12-07,PHW,1296.8409,1351.3506
1946-12-07,DTF,1326.027,1379.8049
1946-12-08,CLR,1310.4608,1313.6263
1946-12-08,NYK,1359.2839,1210.9467
1946-12-08,PHW,1313.6263,1310.4608
1946-12-08,BOS,1210.9467,1359.2839
1946-12-09,PIT,1234.9664,1320.2988
1946-12-09,DTF,1320.2988,1234.9664
1946-12-10,CLR,1315.6875,1334.5652
1946-12-10,TRH,1261.624,1308.3997
1946-12-10,STB,1334.5652,1315.6875
1946-12-10,PHW,1308.3997,1261.624
1946-12-11,CHS,1312.6069,1310.3738
1946-12-11,NYK,1364.1929,1256.0878
1946-12-11,WSC,1385.5331,1329.8735
1946-12-11,CLR,1310.3738,1312.6069
1946-12-11,PRO,1256.0878,1364.1929
1946-12-11,DTF,1329.8735,1385.5331
1946-12-12,BOS,1206.0377,1322.9327
1946-12-12,PHW,1322.4008,1392.4739
1946-12-12,STB,1339.8789,1319.0311
1946-12-12,DTF,1322.9327,1206.0377
1946-12-12,WSC,1392.4739,1322.4008
1946-12-12,CHS,1319.0311,1339.8789
1946-12-13,TRH,1247.6229,1225.3917
1946-12-13,PIT,1225.3917,1247.6229
1946-12-14,BOS,1214.9801,1307.4219
1946-12-14,PRO,1250.736,1313.9904
1946-12-14,WSC,1407.4528,1303.9496
1946-12-14,PHW,1307.4219,1214.9801
1946-12-14,DTF,1313.9904,1250.736
1946-12-14,CLR,1303.9496,1407.4528
1946-12-15,CLR,1297.2839,1369.5447
1946-12-15,CHS,1343.2291,1240.7815
1946-12-15,STB,1315.6809,1232.2332
1946-12-15,NYK,1369.5447,1297.2839
1946-12-15,PIT,1240.7815,1343.2291
1946-12-15,TRH,1232.2332,1315.6809
1946-12-16,PIT,1236.7992,1304.6824
1946-12-16,STB,1304.6824,1236.7992
1946-12-17,CLR,1310.9967,1243.2317
1946-12-17,PHW,1296.1072,1302.2896
1946-12-17,TRH,1243.2317,1310.9967
1946-12-17,DTF,1302.2896,1296.1072
1946-12-18,NYK,1355.8319,1317.8322
1946-12-18,WSC,1414.1184,1317.0259
1946-12-18,CLR,1317.8322,1355.8319
1946-12-18,STB,1317.0259,1414.1184
1946-12-19,BOS,1226.2948,1309.9017
