gameId,HOME_WON,ELO,NB_WIN_L50,PCT_3PT_L50,PCT_LANCER_FRANC_L50,PCT_TIR_REUSSI_L50,PIE_L50,assistPercentage_L50,assistRatio_L50,assistToTurnover_L50,defensiveRating_L50,effectiveFieldGoalPercentage_L50,estimatedDefensiveRating_L50,estimatedNetRating_L50,estimatedOffensiveRating_L50,estimatedPace_L50,estimatedTeamTurnoverPercentage_L50,netRating_L50,offensiveRating_L50,pacePer40_L50,pace_L50,trueShootingPercentage_L50,turnoverRatio_L50
21701100,0,24.370821000000205,2,-0.016620000000000024,-0.08851999999999982,0.0017999999999999128,0.0020799999999998597,0.02800000000000008,0.5380000000000038,0.03279999999999972,0.3240000000000123,-0.0015000000000000568,-0.015999999999991132,1.6680000000000004,1.6680000000000064,0.44539999999997804,0.6044800000000006,1.134,1.4559999999999889,0.32720000000001903,0.392399999999995,-0.006199999999999872,0.5999999999999996
21701101,1,-454.10912099999996,24,0.007039999999999991,-0.017160000000000064,0.016459999999999975,0.052860000000000074,-0.09726000000000001,-1.8339999999999996,0.09339999999999993,-3.1480000000000246,0.0386200000000001,-2.920000000000016,13.030000000000001,10.120000000000005,-1.246799999999979,-2.3468599999999977,12.892,9.745999999999995,-0.7373999999999938,-0.8850000000000051,0.039200000000000124,-2.4459999999999997
21701102,0,-21.41607399999998,9,0.02991999999999989,0.037860000000000005,0.04664000000000007,0.03188000000000002,0.11270000000000002,4.375999999999998,0.4536,3.6499999999999773,0.04956000000000016,2.116000000000014,5.264000000000001,7.39400000000002,3.602800000000002,0.020559999999997913,3.4120000000000004,7.053999999999974,2.521000000000015,3.0254000000000048,0.045700000000000074,-0.013999999999999346
21701103,1,-90.16249500000004,9,0.020520000000000205,-0.0341800000000001,-0.01047999999999999,0.026840000000000086,-0.00865999999999989,-0.6580000000000013,0.28720000000000034,-1.0539999999999878,0.0046800000000000175,-1.9159999999999968,6.136,4.225999999999985,0.8530000000000229,-2.267599999999998,5.33,4.259999999999991,0.46880000000000166,0.5626000000000033,0.01083999999999985,-2.3360000000000003
21701104,1,45.0502570000001,-5,0.00983999999999996,0.02964,-0.020380000000000065,-0.007940000000000003,0.0037400000000000766,-0.1999999999999993,0.1399999999999999,-1.9280000000000115,-0.02169999999999994,-2.195999999999998,-0.262,-2.4380000000000024,-3.841600000000014,-1.3028600000000008,-1.0379999999999998,-2.9599999999999937,-3.0698000000000008,-3.68480000000001,-0.01849999999999996,-1.3599999999999994
21701105,1,-45.99879399999986,2,-0.0024799999999999822,-0.006279999999999952,-0.0016999999999999238,0.022260000000000058,0.03933999999999993,0.4239999999999995,-0.1394000000000002,-5.709999999999994,-0.005600000000000049,-6.44000000000004,3.748,-2.6820000000000164,1.541599999999974,1.7783800000000038,1.7140000000000009,-3.9980000000000047,1.3871999999999929,1.6647999999999996,-0.0040799999999999725,1.6540000000000017
21701106,0,-274.48985500000003,17,0.009799999999999975,0.028920000000000057,0.04727999999999999,0.07532000000000011,-0.04636000000000007,0.6920000000000002,0.5689999999999997,-0.031999999999982265,0.03798000000000007,-0.30400000000000205,11.43,11.123999999999995,0.8418000000000063,-3.5663399999999967,11.322000000000001,11.291999999999987,0.6004000000000076,0.720799999999997,0.041120000000000045,-3.6679999999999993
21701107,0,343.96544199999994,-20,-0.052800000000000014,-0.03272000000000019,-0.015699999999999992,-0.07769999999999994,-0.0037400000000000766,-1.0359999999999978,-0.3196000000000001,8.361999999999995,-0.02933999999999992,8.876000000000019,-13.926000000000002,-5.039999999999978,3.4767999999999972,1.2012199999999975,-12.562000000000001,-4.2039999999999935,2.693399999999997,3.232600000000005,-0.022880000000000122,1.4000000000000021
21701108,1,60.30411099999992,1,0.02628000000000008,-0.0050400000000000444,0.013920000000000099,-0.015160000000000062,0.07857999999999998,2.0500000000000007,-0.08599999999999985,4.569999999999993,0.025060000000000082,4.028000000000006,-1.9040000000000001,2.112000000000009,1.3461999999999819,1.5912999999999986,-2.7379999999999995,1.828000000000003,1.0649999999999977,1.2788000000000181,0.023799999999999932,1.5619999999999994
21701109,1,-129.30413199999998,10,-0.007199999999999984,0.007059999999999955,-0.01035999999999987,0.024760000000000004,-0.03845999999999994,-0.9639999999999986,0.21439999999999992,-4.802000000000007,-0.009820000000000051,-5.3700000000000045,6.693999999999999,1.3159999999999883,0.9856000000000051,-2.1938799999999983,6.180000000000001,1.3760000000000048,0.5444000000000102,0.6533999999999764,-0.006199999999999872,-2.235999999999999
21701110,1,37.87888699999985,0,-0.009719999999999895,-0.01856000000000002,-0.017080000000000095,0.023459999999999925,0.007719999999999949,-0.21599999999999753,-0.048799999999999955,-5.841999999999999,-0.02422000000000002,-6.171999999999997,2.0580000000000003,-4.128,-3.150400000000019,0.4441399999999991,2.196,-3.6539999999999964,-2.9573999999999785,-3.549999999999997,-0.027959999999999874,0.5400000000000027
21701111,1,-456.27816400000006,19,0.00716,0.0018399999999999528,0.014139999999999986,0.05743999999999999,-0.06676000000000004,-1.576000000000004,-0.2248000000000001,-4.199999999999989,0.041979999999999906,-4.28000000000003,13.12,8.846000000000046,-1.7368000000000166,-0.10558000000000156,12.799999999999999,8.601999999999975,-1.30540000000002,-1.566199999999995,0.046540000000000026,-0.15000000000000036
21701112,0,77.26894199999992,-1,-0.013979999999999992,-0.014739999999999864,0.022819999999999896,0.016240000000000032,0.11414000000000007,3.485999999999999,0.3101999999999998,-0.15400000000001057,0.013939999999999952,-0.36400000000001853,-0.023999999999999577,-0.387999999999991,4.261600000000001,0.7006399999999999,-1.862,-2.0060000000000002,4.021399999999986,4.82680000000002,0.011820000000000053,0.5260000000000051
21701113,0,57.833119000000124,1,0.016839999999999966,-0.023980000000000112,0.0018199999999999883,-0.030259999999999898,-0.04401999999999995,-1.1479999999999997,-0.3620000000000003,1.7999999999999972,-0.01120000000000021,1.593999999999994,-4.734,-3.151999999999987,0.06779999999996278,1.9320200000000014,-4.534000000000001,-2.73599999999999,-0.19719999999999516,-0.23640000000000327,-0.016639999999999988,1.9960000000000004
